document_completeness,required_field_completeness,eligibility_pass_ratio,budget_consistency,certificate_validity,contradiction_count,duplicate_similarity,suspicious_indicator_count,document_quality,proposal_quality,project_feasibility,environmental_impact,extraction_confidence,risk_class,risk_score,quality_score
0.66,0.61,0.66,0.8,0.74,1,0.16,1,0.57,0.6,0.57,0.78,0.78,LOW,31.0,77.2
0.9,0.83,0.97,1.0,0.97,1,0.18,2,0.81,0.77,0.89,0.73,0.8,LOW,8.0,77.0
0.65,0.81,0.89,0.78,0.83,3,0.41,2,0.77,0.94,0.89,0.87,0.8,LOW,25.5,81.3
0.85,0.88,0.91,0.95,0.86,1,0.0,1,1.0,0.66,1.0,0.7,1.0,LOW,4.7,75.4
0.5,0.62,0.78,0.7,0.47,1,0.69,3,0.7,0.53,0.91,0.75,0.54,MEDIUM,50.6,68.6
0.98,0.83,0.67,0.99,0.86,0,0.0,2,0.83,0.68,0.87,1.0,0.81,LOW,7.0,71.1
0.4,0.4,0.3,0.32,0.2,5,0.11,0,0.3,0.52,0.25,0.2,0.5,HIGH,86.6,17.4
1.0,0.93,0.84,0.94,0.98,4,0.0,3,1.0,0.91,1.0,0.95,0.93,LOW,9.0,86.7
0.79,0.75,0.54,0.74,0.84,10,0.34,1,0.55,0.6,0.54,0.61,0.72,MEDIUM,59.8,56.0
0.51,0.55,0.46,0.3,0.44,1,0.28,0,0.43,0.35,0.54,0.58,0.5,MEDIUM,57.2,67.5
0.82,0.86,0.63,0.87,0.82,4,0.0,0,0.9,0.81,0.88,0.8,0.84,LOW,16.3,64.5
1.0,0.63,0.79,1.0,0.88,2,0.03,2,0.88,0.7,0.7,0.78,0.91,LOW,25.1,62.6
0.53,0.53,0.61,0.52,0.52,2,0.48,1,0.61,0.66,0.56,0.74,0.5,MEDIUM,53.5,50.7
0.4,0.4,0.3,0.25,0.32,5,0.67,5,0.33,0.3,0.25,0.2,0.5,HIGH,100.0,13.4
0.4,0.4,0.3,0.25,0.49,3,0.55,3,0.3,0.3,0.29,0.2,0.5,HIGH,94.2,28.1
0.6,0.75,0.39,0.63,0.73,6,0.48,4,0.8,0.67,0.64,0.33,0.7,HIGH,72.8,51.1
0.78,0.62,0.69,0.81,0.56,1,0.2,1,0.83,0.8,0.87,0.98,0.63,LOW,15.8,68.7
0.61,0.68,0.64,0.68,0.74,3,0.48,5,0.53,0.5,0.55,0.64,0.5,MEDIUM,57.2,50.0
0.99,0.96,0.75,0.76,0.72,0,0.07,0,0.93,1.0,0.88,0.9,0.96,LOW,7.3,84.8
0.4,0.4,0.3,0.33,0.24,7,0.52,2,0.3,0.3,0.42,0.33,0.5,HIGH,100.0,25.3
0.63,0.4,0.66,0.62,0.48,3,0.39,2,0.54,0.62,0.7,0.55,0.59,MEDIUM,55.8,60.4
0.8,0.83,0.93,0.94,0.8,1,0.3,1,0.74,0.8,0.88,0.61,0.78,LOW,14.6,80.5
0.95,0.83,0.84,0.92,0.86,0,0.02,0,0.95,1.0,0.95,0.58,0.87,LOW,6.6,65.2
